,wave,start,end,syll
288,106_marron1_May_25_2016_22908212.wav,0.0,1.219,SIL
289,106_marron1_May_25_2016_22908212.wav,1.219,1.427,call
290,106_marron1_May_25_2016_22908212.wav,1.427,2.433,SIL
291,106_marron1_May_25_2016_22908212.wav,2.433,2.545,call
292,106_marron1_May_25_2016_22908212.wav,2.545,3.1996734694,SIL
293,106_marron1_May_25_2016_22908212.wav,3.1996734694,4.308,C
294,106_marron1_May_25_2016_22908212.wav,4.308,4.361,SIL
295,106_marron1_May_25_2016_22908212.wav,4.361,4.529,H
296,106_marron1_May_25_2016_22908212.wav,4.529,4.563,SIL
297,106_marron1_May_25_2016_22908212.wav,4.563,5.451,E
298,106_marron1_May_25_2016_22908212.wav,5.451,5.49,SIL
299,106_marron1_May_25_2016_22908212.wav,5.49,6.387,R
300,106_marron1_May_25_2016_22908212.wav,6.387,6.485,SIL
301,106_marron1_May_25_2016_22908212.wav,6.485,6.522,J1
302,106_marron1_May_25_2016_22908212.wav,6.522,7.435,J1
303,106_marron1_May_25_2016_22908212.wav,7.435,7.9441269841,J2
304,106_marron1_May_25_2016_22908212.wav,7.943,8.005,J2
305,106_marron1_May_25_2016_22908212.wav,8.005,8.133,SIL
306,106_marron1_May_25_2016_22908212.wav,8.133,8.982,B1
307,106_marron1_May_25_2016_22908212.wav,8.982,9.899,B2
308,106_marron1_May_25_2016_22908212.wav,9.899,9.949,SIL
309,106_marron1_May_25_2016_22908212.wav,9.949,10.776,Q
310,106_marron1_May_25_2016_22908212.wav,10.776,10.807,SIL
311,106_marron1_May_25_2016_22908212.wav,10.807,11.023,O
312,106_marron1_May_25_2016_22908212.wav,11.023,11.093,SIL
313,106_marron1_May_25_2016_22908212.wav,11.093,11.435,P
314,106_marron1_May_25_2016_22908212.wav,11.435,11.549,SIL
315,106_marron1_May_25_2016_22908212.wav,11.549,11.751,K
316,106_marron1_May_25_2016_22908212.wav,11.751,12.107,K2
317,106_marron1_May_25_2016_22908212.wav,12.107,12.233,SIL
318,106_marron1_May_25_2016_22908212.wav,12.233,12.5135274753,Ci
319,106_marron1_May_25_2016_22908212.wav,12.5135274753,13.5757059553,C
320,106_marron1_May_25_2016_22908212.wav,13.5757059553,13.579,SIL
321,106_marron1_May_25_2016_22908212.wav,13.579,13.752,H
322,106_marron1_May_25_2016_22908212.wav,13.752,13.769,SIL
323,106_marron1_May_25_2016_22908212.wav,13.769,14.523,E
324,106_marron1_May_25_2016_22908212.wav,14.523,14.571,SIL
325,106_marron1_May_25_2016_22908212.wav,14.571,15.793,R
326,106_marron1_May_25_2016_22908212.wav,15.793,15.882,SIL
327,106_marron1_May_25_2016_22908212.wav,15.882,15.93,J1
328,106_marron1_May_25_2016_22908212.wav,15.93,16.4919727891,J1
329,106_marron1_May_25_2016_22908212.wav,16.488,16.552,J2
330,106_marron1_May_25_2016_22908212.wav,16.552,16.67,SIL
331,106_marron1_May_25_2016_22908212.wav,16.67,17.446,B1
