,wave,start,end,syll
16297,394_marron1_June_14_2016_53748329.wav,0.0,1.1036819616,SIL
16298,394_marron1_June_14_2016_53748329.wav,1.1036819616,1.4403049598,call
16299,394_marron1_June_14_2016_53748329.wav,1.4403049598,2.8337034363,SIL
16300,394_marron1_June_14_2016_53748329.wav,2.8337034363,3.1786040493,call
16301,394_marron1_June_14_2016_53748329.wav,3.1786040493,3.6311136535,SIL
16302,394_marron1_June_14_2016_53748329.wav,3.6311136535,5.0272713349,Z
16303,394_marron1_June_14_2016_53748329.wav,5.0272713349,5.0962514575,SIL
16304,394_marron1_June_14_2016_53748329.wav,5.0962514575,5.6536108481,T
16305,394_marron1_June_14_2016_53748329.wav,5.6536108481,5.8909024698,SIL
16306,394_marron1_June_14_2016_53748329.wav,5.8909024698,6.9559555627,U
16307,394_marron1_June_14_2016_53748329.wav,6.9559555627,7.0387317098,TRASH
16308,394_marron1_June_14_2016_53748329.wav,7.0387317098,7.0883973981,A
16309,394_marron1_June_14_2016_53748329.wav,7.0883973981,8.3327988097,A
16310,394_marron1_June_14_2016_53748329.wav,8.3327988097,8.3714276784,A
16311,394_marron1_June_14_2016_53748329.wav,8.3714276784,9.3785374683,X
16312,394_marron1_June_14_2016_53748329.wav,9.3785374683,9.6047922704,X
