,wave,start,end,syll
20212,466_marron1_May_23_2016_63316440.wav,0.0,0.735,SIL
20213,466_marron1_May_23_2016_63316440.wav,0.735,1.043,call
20214,466_marron1_May_23_2016_63316440.wav,1.043,2.095,SIL
20215,466_marron1_May_23_2016_63316440.wav,2.095,2.348,call
20216,466_marron1_May_23_2016_63316440.wav,2.348,2.467,SIL
20217,466_marron1_May_23_2016_63316440.wav,2.467,2.727,Ci
20218,466_marron1_May_23_2016_63316440.wav,2.727,3.96,C
20219,466_marron1_May_23_2016_63316440.wav,3.96,3.9602661353,SIL
20220,466_marron1_May_23_2016_63316440.wav,3.9602661353,4.123,H
20221,466_marron1_May_23_2016_63316440.wav,4.123,4.147,SIL
20222,466_marron1_May_23_2016_63316440.wav,4.147,5.0442684528,E
20223,466_marron1_May_23_2016_63316440.wav,5.0442684528,5.078,SIL
20224,466_marron1_May_23_2016_63316440.wav,5.078,5.922,R
20225,466_marron1_May_23_2016_63316440.wav,5.922,6.062,SIL
20226,466_marron1_May_23_2016_63316440.wav,6.062,7.236,J1
20227,466_marron1_May_23_2016_63316440.wav,7.236,7.239,SIL
20228,466_marron1_May_23_2016_63316440.wav,7.239,8.034,J2
20229,466_marron1_May_23_2016_63316440.wav,8.034,8.094,J2
20230,466_marron1_May_23_2016_63316440.wav,8.094,8.2,SIL
20231,466_marron1_May_23_2016_63316440.wav,8.2,9.067,B1
20232,466_marron1_May_23_2016_63316440.wav,9.067,10.057,B2
20233,466_marron1_May_23_2016_63316440.wav,10.057,11.237,Q
20234,466_marron1_May_23_2016_63316440.wav,11.237,11.249,SIL
20235,466_marron1_May_23_2016_63316440.wav,11.249,11.542,H
20236,466_marron1_May_23_2016_63316440.wav,11.542,11.57,SIL
20237,466_marron1_May_23_2016_63316440.wav,11.57,12.482,Z
20238,466_marron1_May_23_2016_63316440.wav,12.482,12.529,SIL
20239,466_marron1_May_23_2016_63316440.wav,12.529,14.702,N
20240,466_marron1_May_23_2016_63316440.wav,14.702,14.866,S
