,wave,start,end,syll
21140,489_$marron1_May_28_2016_64584367.wav,0.0,0.843,SIL
21141,489_$marron1_May_28_2016_64584367.wav,0.843,1.216,call
21142,489_$marron1_May_28_2016_64584367.wav,1.216,2.318,SIL
21143,489_$marron1_May_28_2016_64584367.wav,2.318,2.663,call
21144,489_$marron1_May_28_2016_64584367.wav,2.663,3.173,SIL
21145,489_$marron1_May_28_2016_64584367.wav,3.173,4.196,Z
21146,489_$marron1_May_28_2016_64584367.wav,4.196,4.286,SIL
21147,489_$marron1_May_28_2016_64584367.wav,4.286,4.543,Ci
21148,489_$marron1_May_28_2016_64584367.wav,4.543,5.579,C
21149,489_$marron1_May_28_2016_64584367.wav,5.579,6.161,H
21150,489_$marron1_May_28_2016_64584367.wav,6.161,6.191,SIL
21151,489_$marron1_May_28_2016_64584367.wav,6.191,7.099,E
21152,489_$marron1_May_28_2016_64584367.wav,7.099,8.299,R
21153,489_$marron1_May_28_2016_64584367.wav,8.299,8.443,SIL
21154,489_$marron1_May_28_2016_64584367.wav,8.443,9.304,J1
21155,489_$marron1_May_28_2016_64584367.wav,9.304,10.061,J2
21156,489_$marron1_May_28_2016_64584367.wav,10.061,10.203,SIL
21157,489_$marron1_May_28_2016_64584367.wav,10.203,10.926,B1
21158,489_$marron1_May_28_2016_64584367.wav,10.917,11.831,B2
21159,489_$marron1_May_28_2016_64584367.wav,11.831,11.858,SIL
21160,489_$marron1_May_28_2016_64584367.wav,11.858,12.758,R
21161,489_$marron1_May_28_2016_64584367.wav,12.758,12.84,SIL
21162,489_$marron1_May_28_2016_64584367.wav,12.84,13.007,TRASH
